timestamp,price_eur_mwh
2026-01-01 00:00,57
2026-01-01 01:00,48
2026-01-01 02:00,49
2026-01-01 03:00,43
2026-01-01 04:00,44
2026-01-01 05:00,45
2026-01-01 06:00,70
2026-01-01 07:00,86
2026-01-01 08:00,91
2026-01-01 09:00,74
2026-01-01 10:00,56
2026-01-01 11:00,44
2026-01-01 12:00,28
2026-01-01 13:00,22
2026-01-01 14:00,22
2026-01-01 15:00,35
2026-01-01 16:00,57
2026-01-01 17:00,84
2026-01-01 18:00,128
2026-01-01 19:00,147
2026-01-01 20:00,117
2026-01-01 21:00,89
2026-01-01 22:00,69
2026-01-01 23:00,60
